,MSA,msa name,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,VIOL,PROPERTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,2018 Real Gross Domentic Product Thousands of chained (2012) dollars
316,42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",445908,445908,16,13,100.0,1527,9779,13,244,325,945,1868,6691,1220,49,27855958
317,42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",502249,502249,18,17,100.0,1868,7794,10,282,236,1340,1529,5380,885,54,28565621
318,42340,"Savannah, GA (Metropolitan Statistical Area)",385219,385219,27,19,300.0,1607,11967,53,79,600,875,2563,8275,1129,17,19446396
319,42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",555447,546891,108,98,300.0,1363,9418,18,150,316,879,1675,7372,371,108,26117207
320,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",3808184,3808184,77,81,299.9979,13413,147449,99,1537,4131,7646,27505,98865,21079,603,355748155
321,42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",150236,150236,15,9,100.0,345,2776,4,21,43,277,574,2044,158,3,5346831
322,42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",99857,99857,14,7,100.0,327,2667,7,27,49,244,674,1873,120,11,2538660
323,43100,"Sheboygan, WI (Metropolitan Statistical Area)",115401,115401,7,7,99.6971,180,1650,2,29,13,136,166,1420,64,7,6700198
324,43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",126006,123921,14,12,98.6846,339,2460,5,50,39,245,581,1665,214,6,4691343
325,43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",403131,403131,14,15,300.0,2748,16157,50,203,613,1882,3469,11575,1113,73,22885201
326,43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",125652,112636,8,4,100.0,393,2547,5,27,28,333,420,1986,141,7,4404134
327,43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",144633,141559,15,13,399.6751,487,4250,2,54,63,368,737,3115,398,15,7639926
328,43620,"Sioux Falls, SD (Metropolitan Statistical Area)",255720,256120,12,14,389.4047,1003,6475,10,155,124,714,1161,4628,685,49,17308018
329,43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",319741,313265,13,11,199.5953,1462,9644,16,172,489,786,2213,6524,907,62,13576001
330,43900,"Spartanburg, SC (Metropolitan Statistical Area)",293211,300454,21,21,100.0,1375,8895,18,122,269,966,1763,6350,782,36,13481467
331,44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",540751,540478,12,11,200.0,1837,27266,18,320,410,1089,4936,19378,2952,65,24586449
332,44100,"Springfield, IL (Metropolitan Statistical Area)",210100,206003,36,26,199.7374,1549,6352,8,147,276,1118,1579,4455,319,58,10859925
333,44140,"Springfield, MA (Metropolitan Statistical Area)",701095,679188,84,54,299.2027,3590,15124,23,362,792,2413,3525,10470,1129,110,30644112
334,44180,"Springfield, MO (Metropolitan Statistical Area)",459709,459709,32,35,499.4667,2775,19491,12,376,461,1926,3290,14147,2054,88,18040845
335,44220,"Springfield, OH (Metropolitan Statistical Area)",135331,127767,9,5,99.3028,465,5273,5,44,193,222,1272,3673,328,62,4414081
336,44300,"State College, PA (Metropolitan Statistical Area)",161409,161409,13,13,100.0,154,1718,2,65,19,68,236,1453,29,21,7929168
337,44420,"Staunton, VA (Metropolitan Statistical Area)",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4902654
338,44700,"Stockton, CA (Metropolitan Statistical Area)",729104,729104,15,10,100.0,6005,22629,62,220,1624,4099,4239,14848,3542,132,29257580
339,44940,"Sumter, SC (Metropolitan Statistical Area)",141282,141282,16,14,200.0,769,4575,5,43,88,633,1285,3008,282,28,4324713
340,45060,"Syracuse, NY (Metropolitan Statistical Area)",655589,655589,52,34,300.0,1803,12678,35,336,431,1000,2284,9775,617,86,36730511
341,45220,"Tallahassee, FL (Metropolitan Statistical Area)",380448,372688,65,32,400.0,2373,15347,17,282,476,1598,3279,10734,1334,25,16284867
342,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",3020266,3020266,82,57,400.0,10294,70491,118,987,2283,6906,11898,53215,5378,316,141901750
343,45460,"Terre Haute, IN (Metropolitan Statistical Area)",187204,126910,16,10,500.0,249,4510,6,43,109,91,971,3045,494,85,7132107
344,45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",149537,149537,11,11,300.0,670,4980,11,86,87,486,1104,3527,349,21,5182313
345,45540,"The Villages, FL (Metropolitan Statistical Area)",124785,124785,13,7,100.0,292,1093,1,25,12,254,277,763,53,1,2484841
346,45780,"Toledo, OH (Metropolitan Statistical Area)",644059,596153,52,41,390.6175,3728,17179,44,439,886,2359,4379,11834,966,182,34820513
347,45820,"Topeka, KS (Metropolitan Statistical Area)",232459,228613,40,33,481.1335,915,8956,21,79,252,564,1513,6459,983,78,10065253
348,45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",370221,370221,19,17,100.0,1492,6600,26,107,588,771,1590,4469,541,30,28459499
349,46060,"Tucson, AZ (Metropolitan Statistical Area)",1017936,1017936,9,9,99.4374,5056,43233,49,582,1433,2993,6079,34458,2696,196,40011352
350,46140,"Tulsa, OK (Metropolitan Statistical Area)",984617,984554,51,65,699.8916,5849,35959,93,687,1248,3822,8814,22305,4839,241,53488424
351,46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",249591,249652,19,20,366.82599999999996,939,6860,18,92,234,594,1634,4797,427,30,9949217
352,46300,"Twin Falls, ID (Metropolitan Statistical Area)",106928,106928,7,7,200.0,278,1781,5,46,18,208,458,1168,155,10,4682659
353,46340,"Tyler, TX (Metropolitan Statistical Area)",224775,222923,11,10,100.0,731,6476,7,84,151,489,1459,4588,429,20,10179462
354,46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",995572,995572,2,1,100.0,2366,30192,16,364,827,1159,3724,22277,4191,263,61095819
355,46540,"Utica-Rome, NY (Metropolitan Statistical Area)",293045,290308,38,25,200.0,779,5508,4,189,152,434,1005,4329,174,15,11892146
356,46660,"Valdosta, GA (Metropolitan Statistical Area)",142939,142650,13,12,399.0697,457,4696,7,30,95,325,1022,3426,248,16,5053868
357,46700,"Vallejo, CA (Metropolitan Statistical Area)",437638,437638,12,10,100.0,2022,11719,24,204,647,1147,3397,6158,2164,121,23303994
358,47020,"Victoria, TX (Metropolitan Statistical Area)",100823,100823,3,3,200.0,395,2911,5,78,68,244,715,2062,134,12,5072117
359,47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",154814,154814,7,6,100.0,806,5651,11,64,335,396,1335,4133,183,18,6051881
360,47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",1565966,1554720,44,33,1200.0,5832,45686,154,604,1748,3326,6203,36481,3000,209,10684787
361,47300,"Visalia, CA (Metropolitan Statistical Area)",460141,460141,14,12,100.0,1608,11563,33,135,329,1111,2674,6781,2108,28,18415098
362,47380,"Waco, TX (Metropolitan Statistical Area)",263867,258375,21,17,199.1315,1105,7222,7,207,185,706,1556,5369,298,26,12745793
363,47460,"Walla Walla, WA (Metropolitan Statistical Area)",60861,60861,3,3,100.0,159,1919,2,36,20,101,345,1416,158,18,3068776
364,47580,"Warner Robins, GA (Metropolitan Statistical Area)",178297,178297,10,10,200.0,792,6408,9,45,180,558,1232,4821,355,13,6978221
365,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",4302620,4299195,89,84,1691.2838,16703,90624,278,1608,6387,8429,9602,72643,8379,473,470809324
366,47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",170888,170888,9,9,300.0,757,3396,4,93,72,588,901,2296,199,29,8794495
367,48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",117080,117080,18,14,100.0,281,2083,2,92,17,170,350,1684,49,19,5910020
368,48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",161756,163791,13,15,200.0,239,2247,3,61,29,146,372,1795,80,3,9108153
369,48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",119934,105539,37,25,287.3403,171,1791,2,20,38,110,297,1442,51,18,6002477
370,48300,"Wenatchee, WA (Metropolitan Statistical Area)",117442,117637,4,5,200.0,169,2629,1,31,18,119,502,1961,166,10,5977603
371,48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",142482,130756,34,28,294.426,483,1940,4,57,37,384,491,1344,105,8,12024277
372,48620,"Wichita, KS (Metropolitan Statistical Area)",636148,634313,48,45,387.934,4598,25801,43,408,684,3462,4398,18881,2523,167,32839454
373,48660,"Wichita Falls, TX (Metropolitan Statistical Area)",150165,146734,10,8,300.0,535,4495,12,134,127,262,1022,3141,332,4,6074200
374,48700,"Williamsport, PA (Metropolitan Statistical Area)",115682,115682,16,16,100.0,238,1753,7,32,58,141,248,1453,52,2,6530249
375,48900,"Wilmington, NC (Metropolitan Statistical Area)",283001,280165,18,9,200.0,1019,8253,17,81,267,654,2074,5762,417,35,13438601
376,49020,"Winchester, VA-WV (Metropolitan Statistical Area)",23093,22730,7,5,61.5578,39,120,0,5,0,34,42,71,7,0,5970888
377,49180,"Winston-Salem, NC (Metropolitan Statistical Area)",657908,660323,31,20,490.5147,2715,21055,36,151,571,1957,5850,14085,1120,116,29533676
378,49340,"Worcester, MA-CT (Metropolitan Statistical Area)",861261,815877,78,64,200.0,3453,13165,12,287,585,2569,2822,9427,916,51,45393493
379,49420,"Yakima, WA (Metropolitan Statistical Area)",250717,250717,14,14,100.0,756,9077,21,85,187,463,2063,5794,1220,51,9883248
380,49620,"York-Hanover, PA (Metropolitan Statistical Area)",443062,443062,29,29,100.0,1037,7014,19,107,307,604,944,5664,406,33,18675558
381,49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",545004,504602,66,62,293.0743,1261,11664,27,144,366,725,2911,8133,620,167,20086004
382,49700,"Yuba City, CA (Metropolitan Statistical Area)",170558,170558,10,9,200.0,678,4635,13,50,137,478,1097,2800,738,36,6506348
383,49740,"Yuma, AZ (Metropolitan Statistical Area)",206201,206201,6,5,100.0,599,3821,9,67,69,454,965,2452,404,36,7874389
